wosarticle__ti	wosarticle__py	docauthinst__AU	wosarticle__doc	wosarticle__di	relevance_netrelevant
Analysing households' responsiveness towards socio-economic determinants of residential electricity consumption in Singapore	2018	"Loi, TSA; <br>Ng, JL"	"<a href=""/scoping/document/47/768144"">768144</a>"	http://dx.doi.org/10.1016/j.enpol.2017.09.052	0
A computational model for designing energy behaviour change interventions	2018	"Mogles, N; <br>Padget, J; <br>Gabe-Thomas, E; <br>Walker, I; <br>Lee, J"	"<a href=""/scoping/document/47/808996"">808996</a>"	http://dx.doi.org/10.1007/s11257-017-9199-9	0
Protocol Sequences With Carrier Sensing for Wireless Sensor Networks	2018	"Zhang, YJ; <br>Zhang, M; <br>Lo, YH; <br>Wong, WS"	"<a href=""/scoping/document/47/808997"">808997</a>"	http://dx.doi.org/10.1109/JIOT.2018.2807403	0
Microgrid to enable optimal distributed energy retail and end-user demand response	2018	"Jin, M; <br>Feng, W; <br>Marnay, C; <br>Spanos, C"	"<a href=""/scoping/document/47/809001"">809001</a>"	http://dx.doi.org/10.1016/j.apenergy.2017.05.103	0
Household energy use, energy efficiency, emissions, and behaviors	2018	Alberini, A	"<a href=""/scoping/document/47/809012"">809012</a>"	http://dx.doi.org/10.1007/s12053-017-9597-1	0
Energy conversion through mass loading of escaping ionospheric ions for different Kp values	2018	"Yamauchi, M; <br>Slapak, R"	"<a href=""/scoping/document/47/809013"">809013</a>"	http://dx.doi.org/10.5194/angeo-36-1-2018	0
Transient and persistent energy efficiency in the US residential sector: evidence from household-level data	2018	"Alberini, A; <br>Filippini, M"	"<a href=""/scoping/document/47/809014"">809014</a>"	http://dx.doi.org/10.1007/s12053-017-9599-z	0
Organizing consumers for a decarbonized electricity system: Calculative agencies and user scripts in a Danish demonstration project	2018	"Pallesen, T; <br>Jenle, RP"	"<a href=""/scoping/document/47/809016"">809016</a>"	http://dx.doi.org/10.1016/j.erss.2018.02.003	0
Enhancing household energy consumption: How should it be done?	2018	"Camara, N; <br>Xu, DY; <br>Binyet, E"	"<a href=""/scoping/document/47/809017"">809017</a>"	http://dx.doi.org/10.1016/j.rser.2017.07.060	0
Distributed Energy Management for Comprehensive Utilization of Residential Photovoltaic Outputs	2018	"Fujimoto, Y; <br>Kikusato, H; <br>Yoshizawa, S; <br>Kawano, S; <br>Yoshida, A; <br>Wakao, S; <br>Murata, N; <br>Amano, Y; <br>Tanabe, S; <br>Hayashi, Y"	"<a href=""/scoping/document/47/809020"">809020</a>"	http://dx.doi.org/10.1109/TSG.2016.2581882	0
A two-part dynamic pricing policy for household electricity consumption scheduling with minimized expenditure	2018	"Mitra, K; <br>Dutta, G"	"<a href=""/scoping/document/47/809029"">809029</a>"	http://dx.doi.org/10.1016/j.ijepes.2018.01.028	0
